InputClass,ClassAccuracy
airport,1.0
airport_hangar,1.0
airport_terminal,1.0
amusement_park,1.0
aquaculture,1.0
archaeological_site,1.0
barn,1.0
border_checkpoint,1.0
burial_site,1.0
car_dealership,1.0
construction_site,1.0
crop_field,1.0
dam,0.9333333333333333
debris_or_rubble,1.0
educational_institution,1.0
electric_substation,1.0
factory_or_powerplant,1.0
fire_station,1.0
flooded_road,0.9333333333333333
fountain,0.9333333333333333
gas_station,1.0
golf_course,1.0
ground_transportation_station,0.8
helipad,1.0
hospital,0.9333333333333333
impoverished_settlement,1.0
interchange,1.0
lake_or_pond,0.8666666666666667
lighthouse,0.9333333333333333
military_facility,1.0
multi-unit_residential,0.9333333333333333
nuclear_powerplant,0.9333333333333333
office_building,1.0
oil_or_gas_facility,1.0
park,1.0
parking_lot_or_garage,1.0
place_of_worship,1.0
police_station,0.9333333333333333
port,1.0
prison,1.0
race_track,1.0
railway_bridge,1.0
recreational_facility,1.0
road_bridge,0.8666666666666667
runway,1.0
shipyard,0.9285714285714286
shopping_mall,1.0
single-unit_residential,0.9333333333333333
smokestack,1.0
solar_farm,1.0
space_facility,1.0
stadium,1.0
storage_tank,1.0
surface_mine,1.0
swimming_pool,0.9333333333333333
toll_booth,1.0
tower,0.8666666666666667
tunnel_opening,1.0
waste_disposal,1.0
water_treatment_facility,1.0
wind_farm,1.0
zoo,0.8666666666666667
